term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,level,header
as.factor(leftright)1,0.13064926386713158,0.018656961861618183,7.002708417167763,0.09408161861835994,0.1672169091159032,Non-Political News,3,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.25767344817434834,0.013903381114359183,18.533150034147265,0.23042282119020435,0.28492407515849233,Non-Political News,3,(A) Country: Spain,(A) Country
as.factor(leftright)1,0.06119846710646817,0.013482881014754877,4.538975537905893,0.03477202031754861,0.08762491389538772,Non-Political News,3,(A) Country: France,(A) Country
as.factor(leftright)1,0.1207681465300933,0.013328366065658022,9.060986615701193,0.09464454904140357,0.14689174401878302,Non-Political News,3,(A) Country: Italy,(A) Country
as.factor(leftright)1,0.0979728067260923,0.01670343017734325,5.865430374833062,0.06523408357849954,0.13071152987368506,Non-Political News,3,(A) Country: United Kingdom,(A) Country
as.factor(leftright)1,0.2302733766028734,0.014776282701856998,15.583985583460308,0.20131186250723368,0.25923489069851313,Non-Political News,3,(A) Country: USA,(A) Country
as.factor(leftright)1,0.13405888199884763,0.01897600409687441,7.064652880262018,0.09686591396897379,0.17125185002872148,Non-Political News,10,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.25948590629770224,0.014111608348162474,18.3881170661522,0.2318271539353038,0.2871446586601007,Non-Political News,10,(A) Country: Spain,(A) Country
as.factor(leftright)1,0.06059271488360565,0.013658401447632113,4.436296232463595,0.033822248046246714,0.08736318172096459,Non-Political News,10,(A) Country: France,(A) Country
as.factor(leftright)1,0.129155879644527,0.013538012109742972,9.540239630276051,0.10262137590943077,0.1556903833796232,Non-Political News,10,(A) Country: Italy,(A) Country
as.factor(leftright)1,0.09870502256678348,0.01689351189537568,5.842776989064207,0.06559373925184715,0.13181630588171983,Non-Political News,10,(A) Country: United Kingdom,(A) Country
as.factor(leftright)1,0.2326186081921258,0.015012911923712454,15.494569566128709,0.20319330082164938,0.2620439155626022,Non-Political News,10,(A) Country: USA,(A) Country
as.factor(leftright)1,0.13251562213110316,0.01960421465395722,6.759547600870313,0.09409136140934701,0.1709398828528593,Non-Political News,30,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.27553820139067026,0.014546923388518023,18.94133859315945,0.24702623154917494,0.3040501712321656,Non-Political News,30,(A) Country: Spain,(A) Country
as.factor(leftright)1,0.06893108358390394,0.014059175601680839,4.902925003345354,0.0413750994046095,0.09648706776319839,Non-Political News,30,(A) Country: France,(A) Country
as.factor(leftright)1,0.1395299170219595,0.013986466600107742,9.976066222535765,0.11211644248574831,0.16694339155817067,Non-Political News,30,(A) Country: Italy,(A) Country
as.factor(leftright)1,0.10185074047368511,0.017340972324927918,5.873415778841483,0.0678624347168264,0.13583904623054383,Non-Political News,30,(A) Country: United Kingdom,(A) Country
as.factor(leftright)1,0.23516066134019278,0.015491022076577331,15.180448402804835,0.2047982580701012,0.26552306461028435,Non-Political News,30,(A) Country: USA,(A) Country
as.factor(leftright)1,0.14713793013859297,0.02083642493416909,7.061572731572846,0.10629853726762156,0.18797732300956438,Non-Political News,60,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.2970282901516399,0.015357420165213534,19.341027786974657,0.26692774662782137,0.3271288336754584,Non-Political News,60,(A) Country: Spain,(A) Country
